2781505847-237000000-Avatar
2068178225-200000000-Star Wars: The Force Awakens
1845034188-200000000-Titanic
1519557910-220000000-The Avengers
1513528810-150000000-Jurassic World
1506249360-190000000-Furious 7
1405035767-280000000-Avengers: Age of Ultron
1327817822-125000000-Harry Potter and the Deathly Hallows: Part 2
1274219009-150000000-Frozen
1215439994-200000000-Iron Man 3
1156730962-74000000-Minions
1123746996-195000000-Transformers: Dark of the Moon
1118888979-94000000-The Lord of the Rings: The Return of the King
1108561013-200000000-Skyfall
1106279658-22000000-The Net
1081041287-250000000-The Dark Knight Rises
1065659812-200000000-Pirates of the Caribbean: Dead Man's Chest
1063171911-200000000-Toy Story 3
1025467110-200000000-Alice in Wonderland
1021683000-380000000-Pirates of the Caribbean: On Stranger Tides
1017003568-250000000-The Hobbit: An Unexpected Journey
1001921825-185000000-The Dark Knight
976475550-125000000-Harry Potter and the Philosopher's Stone
970761885-76000000-Despicable Me 2
961000000-300000000-Pirates of the Caribbean: At World's End
958400000-250000000-The Hobbit: The Desolation of Smaug
955119788-250000000-The Hobbit: The Battle of the Five Armies
954305868-250000000-Harry Potter and the Deathly Hallows: Part 1
938212738-150000000-Harry Potter and the Order of the Phoenix
933959197-250000000-Harry Potter and the Half-Blood Prince
926287400-79000000-The Lord of the Rings: The Two Towers
924317558-115000000-Star Wars: Episode I - The Phantom Menace
920100000-63000000-Jurassic Park
919838758-150000000-Shrek 2
895921036-150000000-Harry Potter and the Goblet of Fire
890871626-258000000-Spider-Man 3
886686817-90000000-Ice Age: Dawn of the Dinosaurs
880674609-245000000-Spectre
877244782-95000000-Ice Age: Continental Drift
876688482-100000000-Harry Potter and the Chamber of Secrets
871368364-93000000-The Lord of the Rings: The Fellowship of the Ring
864625978-94000000-Finding Nemo
853708609-175000000-Inside Out
850000000-113000000-Star Wars: Episode III - Revenge of the Sith
847423452-130000000-The Hunger Games: Catching Fire
836297228-150000000-Transformers: Revenge of the Fallen
829000000-120000000-The Twilight Saga: Breaking Dawn - Part 2
825500000-160000000-Inception
821708551-139000000-Spider-Man
816969268-75000000-Independence Day
798958165-160000000-Shrek the Third
792910554-10500000-E.T. the Extra-Terrestrial
789804554-130000000-Harry Potter and the Prisoner of Azkaban
788679850-160000000-Fast & Furious 6
788241776-45000000-The Lion King
786636033-185000000-Indiana Jones and the Kingdom of the Crystal Skull
783766341-200000000-Spider-Man 2
775398007-11000000-Star Wars
773312399-170000000-Guardians of the Galaxy
769653595-200000000-2012
758410378-180000000-Maleficent
758239851-125000000-The Da Vinci Code
752600867-165000000-Shrek Forever After
752215857-215000000-The Amazing Spider-Man
752100229-125000000-The Hunger Games: Mockingjay - Part 1
748806957-180000000- The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 
746921274-145000000-Madagascar 3: Europe's Most Wanted
746000000-250000000-X-Men: Days of Future Past
743559607-200000000-Monsters University
738599701-150000000-The Matrix Reloaded
731342744-175000000-Up
716392705-105000000-Gravity
714766572-170000000-Captain America: The Winter Soldier
712171856-110000000-The Twilight Saga: Breaking Dawn - Part 1
709827462-50000000-The Twilight Saga: New Moon
709709780-150000000-Transformers
708200000-170000000-Dawn of the Planet of the Apes
705717432-200000000-The Amazing Spider-Man 2
698491347-68000000-The Twilight Saga: Eclipse
694713380-145000000-Mission: Impossible - Ghost Protocol
691210692-75000000-The Hunger Games
682330139-150000000-Mission: Impossible - Rogue Nation
677945399-55000000-Forrest Gump
672806292-40000000-The Sixth Sense
665692281-150000000-Kung Fu Panda 2
662845518-225000000-Man of Steel
660940780-80000000-Ice Age: The Meltdown
655011224-140000000-Pirates of the Caribbean: The Curse of the Black Pearl
652105443-165000000-Big Hero 6
650523427-160000000-The Hunger Games: Mockingjay - Part 2
649398328-120000000-Star Wars: Episode II - Attack of the Clones
631744560-130000000-Kung Fu Panda
631442092-92000000-The Incredibles
626137675-125000000-Fast Five
624029371-150000000-Hancock
624026776-225000000-Men in Black 3
623933331-200000000-Iron Man 2
623722818-150000000-Ratatouille
621752480-165000000-Interstellar
611899420-30000000-The Passion of the Christ
609841637-52000000-Mamma Mia!
609123048-145000000-How to Train Your Dragon 2
609016565-120000000-Life of Pi
603900354-150000000-Madagascar: Escape 2 Africa
599045960-150000000-Casino Royale
595380321-108000000-The Martian
591794936-260000000-Tangled
591739379-132000000-War of the Worlds
589390539-90000000-Men in Black
586090727-200000000-Quantum of Solace
585349010-150000000-I Am Legend
585178928-135000000-The Croods
585174222-140000000-Iron Man
574480841-110000000-Night at the Museum
572700000-32350000-Return of the Jedi
569651467-40000000-Fifty Shades of Grey
563749323-110000000-The Smurfs
562816256-115000000- Monsters, Inc. 
559852396-200000000-Cars 2
554987477-130000000-Puss in Boots
553799566-140000000-Armageddon
550000000-207000000-King Kong
549368315-50000000-Ted
546388105-125000000-Mission: Impossible II
544272402-125000000-The Day After Tomorrow
543513985-69000000-Despicable Me
542351353-95000000-Cinderella
542307423-58800000-American Sniper
538983207-185000000-Brave
538400000-18000000-The Empire Strikes Back
532950503-135000000-The Revenant
532680671-75000000-Madagascar
531865000-200000000-World War Z
529076069-160000000-Godzilla
527068851-75000000-The Simpsons Movie
524028679-90000000-Sherlock Holmes
521311860-180000000-WALLÂ·E
520000000-100000000-Terminator 2: Judgment Day
518602163-130000000-Ant-Man
516642939-80000000-Meet the Fockers
505000000-22000000-Ghost
504050219-28000000-Aladdin
500188435-103000000-Rio 2
497409852-175000000-Troy
494878759-165000000-How to Train Your Dragon
494471524-92000000-Twister
491868548-200000000-Oz: The Great and Powerful
485015179-90000000-Toy Story 2
484635760-90000000-Rio
484572835-80000000-Bruce Almighty
484409218-60000000-Shrek
482860185-93000000-Rise of the Planet of the Apes
481840909-70000000-Saving Private Ryan
479765000-170000000-Thor: The Dark World
478207520-110000000-Mr. & Mrs. Smith
477200000-125000000-Teenage Mutant Ninja Turtles
476684675-18000000-Home Alone
474968763-150000000-Charlie and the Chocolate Factory
474171806-48000000-Indiana Jones and the Last Crusade
471222889-165000000-Wreck-It Ralph
470654000-7000000-Jaws
470490832-110000000-San Andreas
469160692-60000000-The Lego Movie
467365246-190000000-Star Trek Into Darkness
466183544-80000000-Hotel Transylvania 2
463517383-63000000-The Matrix
463360063-40000000-Lucy
463000000-14000000-Pretty Woman
461983149-120000000-Cars
459270619-35000000-The Hangover
457696359-80000000-Mission: Impossible
457640427-103000000-Gladiator
457363168-130000000-National Treasure: Book of Secrets
456758981-140000000-The Last Samurai
450717150-85000000-Ocean's Eleven
449220945-140000000-Pearl Harbor
444115007-150000000-Thor
443140005-75000000-Alvin and the Chipmunks: The Squeakquel
442824138-70000000-The Bourne Ultimatum
441818803-140000000-Men in Black II
441809770-61000000-Les MisÃ©rables
441306145-8000000-The Exorcist
441286195-25000000-Mrs. Doubtfire
440603537-155000000-Terminator Genisys
435000000-200000000-Terminator 3: Rise of the Machines
433013274-98000000-The Mummy Returns
431971116-140000000-Die Another Day
429632142-90000000-Cast Away
425368238-100000000-Django Unchained
424988211-150000000-The Matrix Revolutions
424208848-22000000-Dances with Wolves
422610419-65000000-300
419651413-225000000-The Chronicles of Narnia: Prince Caspian
415885488-80000000-The Mummy
415686217-155000000-The Chronicles of Narnia: The Voyage of the Dawn Treader
415440673-120000000-The Wolverine
415252786-65000000-Sex and the City
414211549-15000000-The King's Speech
413106170-150000000-Night at the Museum: Battle of the Smithsonian
411348924-35000000-Batman
411006740-25000000-The Bodyguard
408247917-72000000-Signs
407602906-180000000-Pacific Rim
403802136-81000000-Kingsman: The Secret Service
403170142-130000000-Prometheus
401128639-145000000-The Mummy: Tomb of the Dragon Emperor
400062763-170000000-TRON: Legacy
397850012-150000000-Mission: Impossible III
396600000-170000000-Snow White and the Huntsman
392616625-37000000-Twilight
392000694-100000000-The Wolf of Wall Street
391081192-270000000-Superman Returns
390493908-48000000-Robin Hood: Prince of Thieves
389925971-18000000-Raiders of the Lost Ark
385680446-150000000-Star Trek
384335608-100000000-Happy Feet
383531464-110000000-Live Free or Die Hard
383257136-59000000-Ice Age
381509870-175000000-Monsters vs Aliens
381109762-19000000-Back to the Future
379014294-130000000-Godzilla
378882411-115000000-True Lies
378436354-150000000-Mad Max: Fury Road
377910544-15000000-Slumdog Millionaire
377350553-25000000-Beauty and the Beast
376141306-45000000-Taken 2
374218673-150000000-Batman Begins
374111707-70000000-What Women Want
373552094-132000000-Penguins of Madagascar
372234864-180000000-The Golden Compass
371940071-130000000-The Adventures of Tintin
371876278-130000000-G.I. Joe: Retaliation
371353001-200000000-Terminator Salvation
370569774-140000000-Captain America: The First Avenger
370541256-178000000-Edge of Tomorrow
369884651-23000000-There's Something About Mary
369330363-61000000-Gone Girl
368875760-44000000-The Fugitive
368871007-135000000-Home
368780809-93000000-Jurassic Park III
368744044-5000000-My Big Fat Greek Wedding
368100420-70000000-Hitch
367275019-75000000-Shark Tale
366101666-90000000-Die Hard: With a Vengeance
363889678-42000000-Notting Hill
363398565-120000000-A Bug's Life
363164265-85000000-Fast & Furious
362744280-110000000-Ocean's Twelve
362637473-125000000-Noah
362211740-100000000-Planet of the Apes
362000072-103000000-The Hangover Part III
361958736-30000000-Toy Story
361832400-135000000-The World Is Not Enough
361366633-60000000-Alvin and the Chipmunks
358991681-18000000-Home Alone 2: Lost In New York
358375603-85000000-Hotel Transylvania
358372926-102000000-Minority Report
357852395-40000000-The Karate Kid
356830601-15000000-Top Gun
356613439-150000000-Angels & Demons
356296601-15000000-American Beauty
355692760-79000000-Journey 2: The Mysterious Island
355237933-52000000-Apollo 13
354825435-25000000-Rain Man
354248063-127500000-Dinosaur
352927224-49000000-Basic Instinct
352194034-58000000-GoldenEye
352114312-52000000-Catch Me If You Can
351692268-87000000-Hannibal
351583407-23000000-The Mask
351040419-105000000-The Great Gatsby
350448145-30000000-Speed
349424282-127000000-Night at the Museum: Secret of the Tomb
348840316-70000000-The Lorax
348319861-34000000-The Maze Runner
347451894-100000000-National Treasure
347434178-105000000-The Smurfs 2
347325802-90000000-Rush Hour 2
347234916-120000000- I, Robot 
346079773-55000000-Pocahontas
345141403-123000000-How the Grinch Stole Christmas
344420111-160000000-X-Men: First Class
342695435-75000000-Alvin and the Chipmunks: Chipwrecked
341631208-46000000-The Flintstones
341131793-150000000-X-Men Origins: Wolverine
340487652-85000000-Enchanted
337580051-110000000-300: Rise of an Empire
336529144-100000000-Batman Forever
335154643-150000000-Prince of Persia: The Sands of Time
335062621-75000000-The Rock
334615000-125000000-Sherlock Holmes: A Game of Shadows
333932083-150000000-The Curious Case of Benjamin Button
333011068-110000000-Tomorrow Never Dies
333000000-28000000-Indiana Jones and the Temple of Doom
332000000-40000000-Back to the Future Part II
331926147-175000000-The Good Dinosaur
330579719-100000000-Fantastic Four
330444045-55000000-Meet the Parents
329803958-70000000-Who Framed Roger Rabbit
328203506-5000000-Crocodile Dundee
327803731-13000000-Black Swan
327311859-33000000-Se7en
326551094-35000000-The Devil Wears Prada
325771424-48000000-Taken 3
325756637-120000000-The Perfect Storm
325233863-200000000-A Christmas Carol
321885765-130000000-Megamind
321731527-35000000-Lethal Weapon 3
321265768-22000000-Schindler's List
320689294-54000000-101 Dalmatians
320145693-14000000-Fatal Attraction
319131050-70000000-Inglourious Basterds
318502923-150000000-The Last Airbender
318000141-13000000-The Conjuring
317375031-40000000-The Proposal
316360478-15000000-Beverly Hills Cop
315156409-85000000-Air Force One
314432665-150000000-Chicken Little
314178011-50000000-As Good as It Gets
313542341-60000000-A Beautiful Mind
312573423-100000000-The Expendables 2
311594032-74000000-The SpongeBob Movie: Sponge Out of Water
311312624-85000000-Ocean's Thirteen
311256926-61000000-Maze Runner: The Scorch Trials
310940086-33000000-Austin Powers: The Spy Who Shagged Me
310669540-200000000-Robin Hood
310650585-100000000-Little Fockers
309979994-150000000-Bolt
309492681-80000000-Ransom
309457509-70000000-Runaway Bride
309208309-29000000-The Blind Side
307077295-55000000-The Pursuit of Happyness
306941670-145000000-Rise of the Guardians
306776732-45000000-Chicago
305875730-165000000-The Polar Express
305151265-12000000-The Fault in Our Stars
304654182-92000000-A Good Day to Die Hard
304320254-90000000-Mulan
303788635-20000000-Close Encounters of the Third Kind
303025485-209000000-Battleship
302469017-175000000-G.I. Joe: The Rise of Cobra
301000000-150000000-Wrath of the Titans
300854823-70000000-Hook
300473716-31000000-Rocky IV
300400432-44000000-Rambo: First Blood Part II
300257475-160000000-Van Helsing
300218018-55000000-Superman
300135367-133000000-Stuart Little
299965036-20000000-Beverly Hills Cop II
299288605-38000000-My Best Friend's Wedding
299268508-110000000-Real Steel
297138014-85000000-Horton Hears a Who!
296633907-63000000-Austin Powers in Goldmember
296221663-60000000-Resident Evil: Afterlife
296000000-7500000-Look Who's Talking
295238201-110000000-Insurgent
295212467-30000000-Ghostbusters
294804195-80000000-Shutter Island
294456605-71000000-Doctor Dolittle
293329073-110000000-Salt
292817841-150000000-G-Force
289847354-90000000-The Departed
289317794-25000000-Shakespeare in Love
289047763-130000000-4: Rise of the Silver Surfer
288752301-39000000-Coming to America
288747895-85000000-Divergent
288500217-75000000-The Bourne Supremacy
288383523-32500000-Bridesmaids
288347692-100000000-Sex and the City 2
287928194-50000000-Casper
287594577-150000000-Bee Movie
287553595-30000000-American Pie 2
287506194-29000000-Pitch Perfect 2
286168572-120000000-Oblivion
286140700-115000000-Elysium
285444603-140000000-Lethal Weapon 4
285176741-40000000-Wedding Crashers
