vote_average revenue
4.7 0
5.4 0
4.6 0
7.4 0
5.4 0
4.2 0
6.9 0
6.2 6921
6.1 0
5.4 0
6.9 67790117
4.4 0
7.2 0
7.4 0
7.5 0
5.2 0
6.2 0
3.5 0
7.5 0
3.5 0
4.7 0
6.9 0
6.4 0
5.7 0
3.5 0
6.2 0
6.2 0
4.1 0
5.7 0
5.5 0
7 0
6.7 0
7 0
5.3 0
5.7 28281
7 0
3.9 0
4.9 0
7.4 0
5.8 0
5.6 0
7.6 0
6.2 0
6.5 0
5.7 0
5.7 0
7.6 0
4.2 0
7.3 0
3.5 0
6.6 0
5.8 0
5.2 0
7.2 0
8 0
4.1 0
8.9 0
7.2 0
7.7 0
5.5 0
3.2 0
7 0
7.4 0
7 0
2.4 0
6.2 0
7.5 0
4.2 0
8.2 0
7.5 0
5.1 0
8 0
7.3 0
5.3 0
6.5 0
6.3 0
3.8 0
6.2 0
5.4 0
6 0
5.1 0
4.6 0
7.3 0
5.2 0
5.5 0
6.7 0
4 0
5.3 0
7.4 0
6.5 0
6.1 0
7.7 0
6.9 1301696
5.3 0
7.1 0
4.8 0
7.8 44695
3.8 0
3.8 0
6 0
6.7 0
5.6 187674
5.9 0
5 0
3.3 0
7.8 0
5 0
7.2 0
6.9 0
4.6 0
6.8 0
6 0
5.6 0
4.6 0
7.2 0
5.9 0
5.7 0
4.9 0
7.6 0
4.9 0
5.2 0
6 0
4.7 0
3.9 0
6.3 0
4 0
7.4 0
8.4 0
4.2 0
8.2 0
6.4 0
6.8 0
6.5 0
5.5 0
6.6 0
6.1 13684
7 0
4.5 0
5 0
4.2 0
6 0
6.8 0
6.5 732655
6.7 0
6.7 0
6.7 0
6.1 0
8 621752480
7.9 773312399
7.6 714766572
7 78739897
6.6 752100229
7.1 955119788
7.8 652105443
8 233555708
7 348319861
7.3 103215094
7.9 369330363
7.4 211817906
6.1 349424282
6.9 288747895
7.6 746000000
6.3 463360063
5.8 477200000
5.3 126069509
7.6 38697217
5.9 245500000
7.9 174600318
8.2 13993093
7.4 708200000
7.2 192330738
6.1 106645357
6.6 705717432
7.7 370541256
6.1 11305175
7.5 542307423
5.6 268031828
6.2 529076069
7 758410378
6 32556119
4.9 102529779
7.7 609123048
6.6 13500000
6.2 206172544
7.5 469160692
6.4 0
5.1 114178613
7.8 121201940
6.4 136621271
