Alan J. Pakula - 6.1 - 1971
Alan J. Pakula - 6.7 - 1974
Alan J. Pakula - 7.3 - 1976
Alan J. Pakula - 7.1 - 1982
Alan J. Pakula - 6.3 - 1990
Alan J. Pakula - 6.2 - 1993
Alan J. Pakula - 5.8 - 1997
Alan J.W. Bell - 6.5 - 1981
Alan Mak - 6 - 2005
Alan Metter - 5.8 - 1985
Alan Metter - 6.6 - 1986
Alan Metter - 5.8 - 1988
Alan Metter - 4.4 - 1994
Alan Metter - 6.4 - 1998
Alan Metter - 6.1 - 1999
Alan Myerson - 6.1 - 1981
Alan Myerson - 4.8 - 1988
Alan Ormsby - 5 - 1974
Alan Parker - 6 - 1976
Alan Parker - 7.5 - 1978
Alan Parker - 5.8 - 1980
Alan Parker - 7.4 - 1982
Alan Parker - 6.8 - 1984
Alan Parker - 6.7 - 1987
Alan Parker - 7.1 - 1988
Alan Parker - 7.2 - 1991
Alan Parker - 5.3 - 1994
Alan Parker - 5.9 - 1996
Alan Parker - 7 - 1999
Alan Parker - 7.2 - 2003
Alan Polsky - 4.9 - 2012
Alan Poul - 5.7 - 2010
Alan Rafkin - 6.1 - 1966
Alan Rickman - 5.9 - 2014
Alan Rudolph - 5.1 - 1991
Alan Rudolph - 5.9 - 1994
Alan Rudolph - 4.8 - 1999
Alan Shapiro - 5.9 - 1993
Alan Shapiro - 5.5 - 1996
Alan Taylor - 6.8 - 2013
Alan Taylor - 5.8 - 2015
Alan White - 5.1 - 2014
Alan Zaslove - 5.8 - 1994
Alastair Fothergill - 6.9 - 2001
Alastair Fothergill - 4.9 - 2003
Alastair Fothergill - 7.6 - 2006
Alastair Fothergill - 7.5 - 2007
Alastair Fothergill - 7 - 2011
Alastair Fothergill - 6.4 - 2012
Alastair Fothergill - 7.4 - 2014
Alastair Fothergill - 6.3 - 2015
Alastair Orr - 4.6 - 2014
Albert Band - 3.5 - 1987
Albert Brooks - 6.3 - 1991
Albert Dupontel - 7.3 - 1996
Albert Dupontel - 5.9 - 2006
Albert Dupontel - 5.7 - 2009
Albert Hughes - 7.1 - 1993
